episode_index,joint_torque_mean_1,joint_torque_mean_2,joint_torque_mean_3,joint_torque_mean_4,joint_torque_mean_5,joint_torque_mean_6,joint_torque_mean_7,joint_force_mean_1,joint_force_mean_2,joint_force_mean_3,joint_force_mean_4,joint_force_mean_5,joint_force_mean_6,joint_force_mean_7
66,0.38057005,14.144955,0.52833253,11.976618,0.20208932,0.9772022,-0.22078851,0.38219708,-0.66627043,0.5429767,-0.017466404,0.22052759,-0.17543715,-0.21420757
67,0.32850525,14.360503,0.42995837,11.8378105,0.09835096,0.9737027,-0.16605626,0.32997194,-0.7497175,0.46945095,-0.011280365,0.118593074,-0.19140111,-0.16936766
68,0.26960337,14.244468,0.41373545,11.992689,0.19389364,0.8950619,-0.20034322,0.27033022,-0.66663975,0.44311482,0.04999579,0.18768872,-0.26128662,-0.19832031
69,0.4139129,13.959985,0.49721447,11.973494,0.21267411,0.968603,-0.21329272,0.41623515,-0.6965581,0.55593747,0.059272666,0.15546373,-0.19253768,-0.13157755
70,0.33398068,14.123013,0.41525006,11.887172,0.11721384,0.88686556,-0.15830724,0.33456483,-0.6925086,0.46430016,-0.030373104,0.13052897,-0.27356988,-0.15036932
71,0.40822986,13.879447,0.5246727,11.982673,0.17434715,0.89510095,-0.20541792,0.40952477,-0.6682546,0.5612151,-0.050369713,0.18485208,-0.24251205,-0.22566041
72,0.40364328,14.1743355,0.5147043,11.935262,0.15232761,0.91604817,-0.14864422,0.40077502,-0.6404313,0.5523313,-0.116578676,0.1922063,-0.21168326,-0.17160358
73,0.4147977,13.7255535,0.5253661,12.058331,0.11399668,0.9795974,-0.2385401,0.41690785,-0.73577774,0.56757945,-0.04857094,0.102257855,-0.14999142,-0.21187447
74,0.3425697,13.904791,0.48928958,11.9154005,0.09434752,0.9102111,-0.20295438,0.34614986,-0.6047115,0.52147484,-0.06277883,0.11014698,-0.2227322,-0.20827526
75,0.32989773,13.423831,0.4563115,12.062578,0.10491049,0.882498,-0.27293143,0.33367246,-0.7282887,0.4888968,-0.09616632,0.087027095,-0.22425438,-0.26144433
76,0.38383287,13.861223,0.48797652,12.0153055,0.1072552,0.9460111,-0.20879693,0.38150522,-0.81681806,0.5294354,-0.057134703,0.102364615,-0.20384848,-0.19994046
77,0.3878032,13.865022,0.5397974,12.006796,0.08736937,0.86398125,-0.21310428,0.38736603,-0.8252083,0.56125915,-0.1162928,0.10791908,-0.22693771,-0.22898732
78,0.3077936,13.85114,0.42811644,11.877933,0.12927276,0.9257661,-0.2253807,0.30336052,-0.6137661,0.4675366,0.009699048,0.13099891,-0.22647369,-0.20756581
79,0.48405606,14.068645,0.56019175,11.94519,0.14981444,0.92196757,-0.21185243,0.48718786,-0.7380483,0.63704354,-0.116094485,0.122480296,-0.23179074,-0.19925815
80,0.42796224,13.696278,0.5825741,11.997661,0.103988566,0.8832255,-0.19769403,0.43017307,-0.74631816,0.59373486,-0.014512975,0.13547878,-0.2507176,-0.20528534
81,0.41315088,13.630957,0.5452317,11.928328,0.07496046,0.9059721,-0.23455991,0.41676268,-0.65668005,0.57270324,-0.05928324,0.10109065,-0.24913138,-0.23110585
82,0.4091155,13.984366,0.5249924,11.968675,0.13654308,0.87903273,-0.269676,0.40245774,-0.6805638,0.55795115,-0.066380665,0.1265646,-0.23609024,-0.28172752
83,0.2831178,13.667256,0.4410888,12.033297,0.1181146,0.8837575,-0.23301448,0.28705582,-0.6611218,0.46213976,-0.109198675,0.11402286,-0.22401804,-0.22421028
84,0.4686279,13.897869,0.60557026,11.965797,0.080758214,0.9455774,-0.23692578,0.46808878,-0.9355369,0.6243124,-0.13526317,0.14358923,-0.18162134,-0.25952876
85,0.36428052,13.315971,0.4854661,12.002875,0.064200215,0.9002372,-0.20472698,0.36787796,-0.62378,0.5214258,-0.055059507,0.04840792,-0.22314402,-0.19263794
86,0.46084228,13.882525,0.52334493,11.959863,0.10773621,0.86327827,-0.20045936,0.45986956,-0.63775194,0.59796405,-0.07602771,0.09720862,-0.28176033,-0.19792679
87,0.37654647,13.8455105,0.45797002,11.97938,0.13017419,0.88378215,-0.22430103,0.37241703,-0.6442247,0.48412687,-0.1283656,0.12318597,-0.21177773,-0.21549037
88,0.45670062,14.4780245,0.54930294,11.969192,0.068566844,0.97543013,-0.1954034,0.45408446,-0.65029615,0.5487534,0.015571893,0.10221254,-0.16123487,-0.18318003
